Player,Nation,Pos,Team,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Ben Alexander Voll,GER,GK,St. Pauli,23,2000,2,1,91,1.0,2,1.98,5,3,60.0,0,1,0,0,0.0,0,0,0,0,N/A
Noah Atubolu,GER,GK,Freiburg,22,2002,26,26,"2,307",25.6,37,1.44,120,81,69.2,12,6,8,10,38.5,2,0,2,0,100.0
Oliver Baumann,GER,GK,Hoffenheim,34,1990,28,28,"2,520",28.0,53,1.89,138,84,63.0,6,8,14,4,14.3,5,2,3,0,60.0
Tiago Cardoso,LUX,GK,Gladbach,18,2006,5,4,380,4.2,3,0.71,23,20,87.0,2,1,1,2,50.0,0,0,0,0,N/A
Finn Dahmen,GER,GK,Augsburg,26,1998,19,19,"1,710",19.0,19,1.00,82,65,79.3,7,6,6,9,47.4,2,2,0,0,0.0
Thomas Dähne,GER,GK,Holstein Kiel,30,1994,9,9,810,9.0,19,2.11,55,36,69.1,2,2,5,0,0.0,3,2,1,0,33.3
Patrick Drewes,GER,GK,Bochum,31,1993,21,21,"1,890",21.0,46,2.19,99,51,56.6,2,5,14,2,9.5,5,3,2,0,40.0
Frank Feller,GER,GK,Heidenheim,20,2004,2,1,121,1.3,0,0.00,2,2,100.0,1,0,0,2,200.0,0,0,0,0,N/A
Kamil Grabara,POL,GK,Wolfsburg,25,1999,29,29,"2,585",28.7,49,1.71,137,88,65.7,9,7,13,5,17.2,3,2,1,0,33.3
Péter Gulácsi,HUN,GK,RB Leipzig,34,1990,30,30,"2,631",29.2,39,1.33,137,97,73.0,12,11,7,14,46.7,3,2,1,0,33.3
Timo Horn,GER,GK,Bochum,31,1993,13,13,"1,170",13.0,22,1.69,54,32,59.3,3,3,7,3,23.1,1,0,0,1,N/A
Lukáš Hrádecký,FIN,GK,Leverkusen,34,1989,29,29,"2,610",29.0,38,1.31,118,83,71.2,16,11,2,6,20.7,4,4,0,0,0.0
Gregor Kobel,SUI,GK,Dortmund,26,1997,32,32,"2,880",32.0,47,1.47,129,82,66.7,16,6,10,7,21.9,4,4,0,0,0.0
Matej Kovar,CZE,GK,Leverkusen,24,2000,5,5,450,5.0,5,1.00,16,12,68.8,3,1,1,3,60.0,0,0,0,0,N/A
Nediljko Labrović,CRO,GK,Augsburg,24,1999,15,15,"1,350",15.0,32,2.13,74,42,60.8,4,4,7,2,13.3,3,3,0,0,0.0
Alexander Meyer,GER,GK,Dortmund,33,1991,2,2,180,2.0,4,2.00,11,7,63.6,1,0,1,0,0.0,0,0,0,0,N/A
Florian Müller,GER,GK,Freiburg,26,1997,9,8,753,8.4,16,1.91,30,15,53.3,4,1,3,1,12.5,2,2,0,0,0.0
Kevin Müller,GER,GK,Heidenheim,33,1991,33,33,"2,939",32.7,64,1.96,169,105,65.7,7,5,21,7,21.2,6,6,0,0,0.0
Marius Müller,GER,GK,Wolfsburg,31,1993,6,5,475,5.3,5,0.95,23,18,78.3,2,3,0,1,20.0,0,0,0,0,N/A
Manuel Neuer,GER,GK,Bayern Munich,38,1986,22,22,"1,980",22.0,15,0.68,45,30,68.9,18,4,0,13,59.1,2,1,0,1,0.0
Moritz Nicolas,GER,GK,Gladbach,26,1997,19,19,"1,639",18.2,25,1.37,92,69,78.3,9,4,6,4,21.1,5,5,0,0,0.0
Alexander Nübel,GER,GK,Stuttgart,27,1996,34,34,"3,060",34.0,53,1.56,136,83,62.5,14,8,12,7,20.6,3,2,1,0,33.3
Jonas Omlin,SUI,GK,Gladbach,30,1994,12,11,978,10.9,26,2.39,72,45,66.7,2,1,8,1,9.1,3,2,1,0,33.3
Daniel Peretz,ISR,GK,Bayern Munich,24,2000,3,3,270,3.0,5,1.67,7,2,28.6,2,0,1,0,0.0,0,0,0,0,N/A
Luca Philipp,GER,GK,Hoffenheim,23,2000,6,6,540,6.0,15,2.50,35,21,60.0,1,3,2,0,0.0,1,1,0,0,0.0
Lasse Rieß,GER,GK,Mainz,05,23,2001,2,2,180,2.0,2,1.00,8,6,75.0,1,1,0,0,0.0,0,0,0,0
Frederik Rønnow,DEN,GK,Union Berlin,31,1992,28,28,"2,520",28.0,37,1.32,111,71,67.6,8,11,9,8,28.6,5,1,4,0,80.0
Kauã Santos,BRA,GK,Eint Frankfurt,21,2003,9,8,765,8.5,12,1.41,46,35,76.1,5,1,2,3,37.5,1,1,0,0,0.0
Alexander Schwolow,GER,GK,Union Berlin,32,1992,6,6,540,6.0,13,2.17,28,15,57.1,2,0,4,0,0.0,1,1,0,0,0.0
Kevin Trapp,GER,GK,Eint Frankfurt,34,1990,26,26,"2,295",25.5,34,1.33,117,82,70.9,12,8,6,6,23.1,2,0,2,0,100.0
Jonas Urbig,GER,GK,Bayern Munich,20,2003,8,8,720,8.0,12,1.50,28,16,57.1,4,3,1,2,25.0,0,0,0,0,N/A
Maarten Vandevoordt,BEL,GK,RB Leipzig,22,2002,6,4,429,4.8,9,1.89,21,12,57.1,1,1,2,0,0.0,0,0,0,0,N/A
Nikola Vasilj,BIH,GK,St. Pauli,28,1995,33,33,"2,969",33.0,39,1.18,135,93,71.9,8,7,18,9,27.3,5,1,4,0,80.0
Timon Weiner,GER,GK,Holstein Kiel,25,1999,25,25,"2,250",25.0,61,2.44,140,81,59.3,4,5,16,2,8.0,4,4,0,0,0.0
Michael Zetterer,GER,GK,Werder Bremen,29,1995,34,34,"3,060",34.0,57,1.68,156,102,65.4,14,9,11,10,29.4,3,3,0,0,0.0
Dimitry Bertaud,COD,GK,Montpellier,26,1998,4,4,360,4.0,11,2.75,21,10,57.1,1,0,3,0,0.0,2,2,0,0,0.0
Marco Bizot,NED,GK,Brest,33,1991,32,32,"2,880",32.0,54,1.69,128,74,64.1,14,5,13,10,31.3,10,8,1,1,11.1
Marcin Bułka,POL,GK,Nice,24,1999,34,34,"3,060",34.0,41,1.21,161,120,75.8,17,9,8,8,23.5,3,2,1,0,33.3
Patrik Carlgren,SWE,GK,Nantes,32,1992,5,4,417,4.6,7,1.51,28,21,75.0,1,2,1,1,25.0,0,0,0,0,N/A
Lucas Chevalier,FRA,GK,Lille,22,2001,34,34,"3,060",34.0,36,1.06,126,91,74.6,17,9,8,11,32.4,4,4,0,0,0.0
