GA,Command_index,Market_Value_Numeric,GA90,Save_consistency,League_strength,Shot_stopping_index,PKatt,Adj_GA90,Starts,MP,Goals_prevented,Saves_per_90,Mins_per_match,L,90s,Experience,W,SoTA,CS,D,Adj_save%,Born,Min,Top_team_experience,Market_value_driver,Age,Shots_faced_per_90,PKA,Saves
18,0.2900826446280992,3200000.0,2.25,0.9914207257276813,,0.30083032166508994,4,,8,8,-3.467999999999999,2.0,90.0,4,8.0,6.580639137284949,2,34,0,2,,1997,720.0,0,,27,4.25,4,16
20,0.359701312883131,3500000.0,1.08,0.9970950838923535,,0.5708997161778618,2,,18,19,3.0600000000000027,2.5945945945945947,87.6842105263158,6,18.5,7.418780882750794,8,68,5,4,,1995,1666.0,0,,29,3.675675675675676,2,48
1,0.540977961432507,9000000.0,0.28,0.9637378381339307,0.80946,0.657003784295175,0,0.34590961875818454,3,4,1.4800000000000004,1.9444444444444444,81.25,0,3.6,5.208207643230036,3,8,3,0,0.7082775,2001,325.0,0,1.4877833435074452,22,2.2222222222222223,0,7
22,0.3595270890725436,9000000.0,1.22,0.9999990479554732,0.80946,0.4713094607379378,1,1.5071776245892323,18,18,-0.5279999999999931,2.4444444444444446,90.0,9,18.0,6.651718669562108,5,66,5,4,0.55205172,2001,1620.0,0,1.6661298174388355,22,3.6666666666666665,1,44
34,0.3856708799222168,25000000.0,1.0,0.9949876957659982,0.80946,0.6771339640491958,2,1.2353914955649445,34,34,7.998000000000007,2.8529411764705883,90.0,8,34.0,8.026496938945412,19,129,13,7,0.60871392,2000,3060.0,0,2.019659995186855,24,3.7941176470588234,2,97
3,0.2900826446280992,,3.0,0.9682699983970502,,0.2534295175023652,0,,1,1,-1.1399999999999997,3.0,90.0,1,1.0,4.240207936125839,0,6,0,0,,1990,90.0,0,,34,6.0,0,3
32,0.39614325068870526,18000000.0,0.97,0.9967642703355223,0.80946,0.6159977767265847,5,1.1983297506979962,33,33,4.944000000000004,2.1515151515151514,90.0,4,33.0,7.9966538754626075,16,103,14,13,0.5973814799999999,1997,2970.0,1,2.0949118096190027,27,3.121212121212121,5,71
58,0.3864048510337897,3500000.0,1.53,0.9981564915895552,,0.5912927625354781,10,,38,38,6.154000000000026,3.289473684210526,90.0,20,38.0,8.137688184977605,8,181,9,10,,1995,3420.0,0,,29,4.7631578947368425,8,125
38,0.4925375242634601,5000000.0,1.12,0.998323804052397,0.80946,0.5853298013245033,3,1.3836384750327382,34,34,4.256000000000004,2.764705882352941,90.0,11,34.0,7.785702030777049,18,133,10,5,0.5844301199999999,1990,3060.0,0,1.966086217684851,33,3.911764705882353,1,94
15,0.38189806714811425,1000000.0,2.14,0.9968711016969403,0.80946,0.3501433301797541,4,2.6437378005089816,7,7,-2.0799999999999983,2.2857142857142856,90.0,4,7.0,6.447305862541213,1,32,1,2,0.5059125,1995,630.0,0,1.588431854858185,29,4.571428571428571,3,16
15,0.36192443919716644,,1.92,0.9996400513506576,,0.44356859035004725,3,,7,8,0.40000000000000036,3.4615384615384617,87.875,5,7.8,6.556778356158042,1,40,2,1,,1993,703.0,0,,31,5.128205128205129,3,27
